test_id,category,domain,prompt,expected_response,agent_response,exact_match,semantic_similarity,rubric_precision,rubric_adherence,rubric_explanation,overall_score,execution_time_ms,error,analysis_notes
1,outcome_rewriting,OBT Methodology,Rewrite 'implement ERP system' as an outcome (≤10 words),Business processes are integrated enterprise-wide,Business operations are integrated across all functions,0,0.6774,2,3,3,0.7027,3151,,"Precision: Length: 7 vs 5 words (diff: 2), Concept overlap: 60.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
2,classification,OBT Methodology,Classify 'Decision speed improves measurably' — What or How?,What,What,1,1.0,3,3,3,1.0,2118,,"Precision: Length: 1 vs 1 words (diff: 0), Concept overlap: 100.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
3,outcome_rewriting,Global PD,Provide a ≤10-word outcome for product design quality.,Design quality meets customer expectations consistently,Product designs consistently meet all quality standards first-time.,0,0.6076,1,3,3,0.6186,2459,,"Precision: Length: 8 vs 6 words (diff: 2), Concept overlap: 33.33% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
4,portfolio_analysis,Global PD,"Prioritize: Digital Twin, Advanced Analytics, Predictive Maintenance for capability impact.",1) Advanced Analytics; 2) Digital Twin; 3) Predictive Maintenance,"Based on Data and AI Project Impacts (100225).xlsx analysis:

**PRIORITY RANKING:**

1. **Digital Twin** (Impact Score: 3)
   - Highest strategic value for operational efficiency and product development integration
   - Current Maturity: Level 2, Target: Level 4
   - Cross-domain benefits: Design, Manufacturing, Quality

2. **Advanced Analytics** (Impact Score: 2) 
   - Strong foundation for data-driven decision making
   - Current Maturity: Level 2, Target: Level 4
   - Enables other capabilities including Digital Twin

3. **Predictive Maintenance** (Impact Score: 2)
   - Operational efficiency gains but narrower scope
   - Current Maturity: Level 1, Target: Level 3
   - Dependent on Advanced Analytics foundation

**RATIONALE:**
Digital Twin scores highest (3) for transformational impact across multiple domains. Advanced Analytics and Predictive Maintenance both score 2, but Analytics provides broader foundational capability supporting Digital Twin implementation.

**RECOMMENDED SEQUENCE:**
Advanced Analytics → Digital Twin → Predictive Maintenance (building capability dependencies)

Source: Data and AI Capability Definitions and Maturities.xlsx
Confidence: HIGH (>90%)",0,0.6706,0,3,2,0.5176,7598,,"Precision: Length: 151 vs 9 words (diff: 142), Concept overlap: 66.67% | Adherence: No OBT violations | Explanation: Adequate explanation"
5,acceptance_criteria,OBT Methodology,Write acceptance criteria for 'Workforce capabilities enhanced significantly' including owner and measurement.,Owner: HR/L&D; Measure: competency assessment pass rate; Goal: 90% within 12 months; Evidence: assessment reports,"**Acceptance Criteria: Workforce Capabilities Enhanced Significantly**

**Owner:** Chief Human Resources Officer (CHRO) with dotted line accountability to VP of Product Development

**Primary Acceptance Criteria:**
1. **Skills Assessment Results:** 85%+ of PD workforce demonstrates proficiency in core competency frameworks (measured via standardized assessments)
2. **Training Completion Rate:** 90%+ completion of role-specific capability development programs within defined timeframes
3. **Performance Metrics:** 25%+ improvement in capability-specific KPIs (design cycle time, requirements accuracy, change processing speed) across targeted roles
4. **Certification Achievement:** 80%+ of applicable workforce obtains relevant professional certifications or internal capability badges

**Measurement Framework:**
- **Baseline Metrics:** Current capability assessments across 8 PD domains (Change Control, BOM/PIM, Requirements, Design, Data & AI, etc.)
- **Tracking Frequency:** Monthly capability scorecards with quarterly comprehensive reviews
- **Success Threshold:** Sustained improvement over 6-month measurement period
- **Data Sources:** Learning management system analytics, performance review data, capability maturity assessments

**Supporting Criteria:**
- Cross-functional collaboration effectiveness increases (360-degree feedback scores improve 20%+)
- Capability retention rates exceed 95% (skills maintained 12 months post-training)
- Employee engagement scores related to professional development improve 15%+

**Dependencies:** Capability framework definitions, training infrastructure, assessment tools, budget approval for development programs.",0,0.6507,0,3,2,0.5127,10357,,"Precision: Length: 189 vs 15 words (diff: 174), Concept overlap: 28.57% | Adherence: No OBT violations | Explanation: Adequate explanation"
6,classification,OBT Methodology,"Is 'Deploy analytics dashboards' an acceptable outcome? If not, reframe.",No — it's a How. Reframe: Decision speed improves measurably,"No.

**Reframed outcome:** Analytics insights drive operational decisions consistently.",0,0.3561,1,2,3,0.4724,3528,,"Precision: Length: 9 vs 10 words (diff: 1), Concept overlap: 0.00% | Adherence: Word count: 9 > 5 (MODE 2 violation) | Explanation: Concise MODE response (correct)"
7,maturity_assessment,BOM & PIM Management,State Part Information Management maturity (current and target).,"Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)","Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)

Source: BOM PIM Capability Definitions and Maturities.xlsx

Key context: Current state shows basic part information workflows exist but lack standardization across engineering teams. Target enables data-driven decision making with quantitative controls and predictive analytics for part selection optimization.",0,0.8233,1,3,2,0.6225,3398,,"Precision: Length: 51 vs 13 words (diff: 38), Concept overlap: 100.00% | Adherence: No OBT violations | Explanation: Adequate explanation"
8,outcome_rewriting,OBT Methodology,Create a metric-free ≤10-word outcome for customer onboarding.,Customers onboard seamlessly and confidently,Customers seamlessly integrate into our product ecosystem immediately.,0,0.683,1,3,3,0.6374,2756,,"Precision: Length: 8 vs 5 words (diff: 3), Concept overlap: 40.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
9,portfolio_analysis,Global PD,Top-level RACI for Digital Twin — Accountable and Responsible?,Accountable: Head of Operations; Responsible: Plant Engineering & Operations,"**Accountable:** Chief Data Officer (CDO) or VP Data & AI
**Responsible:** Digital Twin Program Manager + Data Engineering Lead

Source: Data and AI Capability Definitions and Maturities.xlsx
Current Digital Twin Maturity: Level 2 (Managed)

Digital Twin requires enterprise data governance accountability (CDO level) with dedicated program execution responsibility for cross-functional coordination and technical implementation.",0,0.5982,0,3,2,0.4996,4678,,"Precision: Length: 54 vs 9 words (diff: 45), Concept overlap: 22.22% | Adherence: No OBT violations | Explanation: Adequate explanation"
10,portfolio_analysis,Global PD,"Given target weights Pain 30%, Capabilities 55%, Infra 15% and current Pain29%, Cap13%, Infra21% — which area is underrepresented?",Capabilities underrepresented (13% vs 55%). Action: prioritize capability projects and reallocate budget.,"Capabilities

(37 percentage point gap: 55% target vs 13% current)",0,0.7142,1,3,0,0.4952,2939,,"Precision: Length: 10 vs 12 words (diff: 2), Concept overlap: 16.67% | Adherence: No OBT violations | Explanation: No justification"
11,outcome_rewriting,OBT Methodology,Rewrite 'train staff on new process' as an outcome (≤10 words),Staff competency in new process is established,Staff confidently execute new process independently,0,0.5734,1,3,3,0.61,2532,,"Precision: Length: 6 vs 7 words (diff: 1), Concept overlap: 42.86% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
12,classification,OBT Methodology,Is 'Improve vendor relationships' a What or How?,How — describes method. Reframe: Vendor delivery reliability increases consistently,How,0,0.2623,0,3,3,0.4656,2193,,"Precision: Length: 1 vs 10 words (diff: 9), Concept overlap: 10.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
13,acceptance_criteria,OBT Methodology,Write a KPI (goal + measure) for 'Operations visibility is comprehensive',Goal: Real-time asset visibility across plants; Measure: % assets with live telemetry (Target: 95%),"**Goal:** Operations visibility is comprehensive  
**Measure:** 95% of operational processes have real-time dashboards with <5-minute data latency",0,0.6563,1,3,2,0.5808,2904,,"Precision: Length: 17 vs 14 words (diff: 3), Concept overlap: 21.43% | Adherence: No OBT violations | Explanation: Adequate explanation"
14,outcome_rewriting,Design Management,Reframe 'deploy a new PLM system' into an outcome.,Product data is unified and accessible,Product lifecycle data is unified and accessible across all teams.,0,0.6949,2,3,3,0.7071,2525,,"Precision: Length: 10 vs 6 words (diff: 4), Concept overlap: 100.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
15,classification,OBT Methodology,Classify: 'Production meets defined run-rate stability' — What or How?,What,What,1,1.0,3,3,3,1.0,2189,,"Precision: Length: 1 vs 1 words (diff: 0), Concept overlap: 100.00% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
16,outcome_rewriting,OBT Methodology,Produce ≤10-word outcome for supplier quality.,Supplier parts meet quality standards consistently,Suppliers consistently deliver zero-defect materials and components.,0,0.6544,1,3,3,0.6303,3519,,"Precision: Length: 7 vs 6 words (diff: 1), Concept overlap: 16.67% | Adherence: No OBT violations | Explanation: Concise MODE response (correct)"
17,acceptance_criteria,Change Control,Create a short stakeholder alignment note for Analytics Platform launch.,Sponsor: CIO; Responsible: Data Engineering; Consulted: Business Units; Informed: Execs,"**Analytics Platform Launch - Stakeholder Alignment**

**Launch Objective:** Enable data-driven decision making across Global PD through centralized analytics capabilities

**Key Stakeholders & Roles:**
- **IT Leadership:** Platform infrastructure, security compliance, system integration
- **Data & AI Team:** Analytics model development, data governance, user training
- **Domain Leaders:** Requirements definition, change management, adoption metrics
- **End Users:** Feedback collection, usage validation, capability requests

**Critical Dependencies:**
- Data integration from existing PD systems (BOM/PIM, Change Control)
- User access provisioning and security clearance
- Training schedule coordination across time zones
- Success metrics alignment with GPD KPIs

**Success Criteria:**
- Platform operational stability >99%
- User adoption >80% within 90 days
- Decision cycle time improvement >15%
- Cross-domain data visibility achieved

**Next Actions:**
- Weekly steering committee reviews
- Phased rollout by domain (Requirements → Design → Change Control)
- Monthly adoption metrics reporting

Source: Data and AI Capability Definitions and Maturities.xlsx",0,0.5742,0,3,2,0.4935,8346,,"Precision: Length: 151 vs 10 words (diff: 141), Concept overlap: 10.00% | Adherence: No OBT violations | Explanation: Adequate explanation"
