test_id,category,domain,mode,prompt,expected_response,agent_response,word_count,semantic_correctness,obt_adherence,response_completeness,professional_communication,overall_score,rating,execution_time_ms,error,score_breakdown,dimension_explanations,passed_checks,failed_checks
1,outcome_rewriting,OBT Methodology,MODE1,Rewrite 'implement ERP system' as an outcome (≤10 words),Business processes are integrated enterprise-wide,Business processes are integrated enterprise-wide,5,1.0,0.75,1.0,1.0,0.9375,EXCELLENT,2446,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: EXCELLENT (similarity: 1.000) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Proper tense (present passive describing achieved state)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Mentions specific technology: erp""], ""communication"": []}"
2,classification,OBT Methodology,MODE2,Classify 'Decision speed improves measurably' — What or How?,What,What,1,1.0,0.75,0.7,1.0,0.8775,EXCELLENT,2183,,Semantic: 1.000 × 0.40 = 0.400 | OBT: 0.750 × 0.25 = 0.188 | Complete: 0.700 × 0.20 = 0.140 | Comm: 1.000 × 0.15 = 0.150,"Semantic: EXCELLENT (similarity: 1.000) | Complete: Very brief answer; MODE2: Simple classification, reasoning not needed; Sources not required for this mode","{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
3,outcome_rewriting,Global PD,MODE1,Provide a ≤10-word outcome for product design quality.,Design quality meets customer expectations consistently,Product designs consistently meet world-class quality standards.,7,0.7501,0.75,1.0,1.0,0.8375,GOOD,2976,,Semantic: 0.750 × 0.40 = 0.300 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.750) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
4,portfolio_analysis,Global PD,MODE3,"Prioritize: Digital Twin, Advanced Analytics, Predictive Maintenance for capability impact.",1) Advanced Analytics; 2) Digital Twin; 3) Predictive Maintenance,"**Data & AI Capability Impact Prioritization:**

Based on Data and AI Project Impacts (100225).xlsx:

**1. Digital Twin (Priority 1)**
- Impact Score: 3 (Highest)
- Current Maturity: Level 2, Target: Level 4
- Strategic Value: Enables real-time product optimization and predictive insights

**2. Advanced Analytics (Priority 2)**
- Impact Score: 2-3 (High-Highest)
- Current Maturity: Level 2, Target: Level 4
- Strategic Value: Foundation for data-driven decision making across operations

**3. Predictive Maintenance (Priority 3)**
- Impact Score: 2 (High)
- Current Maturity: Level 1, Target: Level 3
- Strategic Value: Operational efficiency and cost reduction

**Rationale:** Digital Twin scores maximum impact (3) and has established foundation (Level 2). Advanced Analytics provides broad organizational benefit. Predictive Maintenance, while valuable, has lowest current maturity requiring more foundational work.

**Recommended Sequence:** Advance Digital Twin to Level 3, strengthen Advanced Analytics foundation, then accelerate Predictive Maintenance capabilities.

Source: Data and AI Capability Definitions and Maturities.xlsx",152,0.7281,1.0,1.0,1.0,0.8912,EXCELLENT,7298,,Semantic: 0.728 × 0.40 = 0.291 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.728) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""\u2713 Confidence level stated"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
5,acceptance_criteria,OBT Methodology,MODE3,Write acceptance criteria for 'Workforce capabilities enhanced significantly' including owner and measurement.,Owner: HR/L&D; Measure: competency assessment pass rate; Goal: 90% within 12 months; Evidence: assessment reports,"**Acceptance Criteria: Workforce Capabilities Enhanced Significantly**

**WHAT (End State)**
- Employee skill profiles demonstrate measurable advancement across core competencies
- Performance evaluations show consistent capability improvements year-over-year  
- Knowledge retention rates exceed industry benchmarks
- Cross-functional collaboration effectiveness increases substantially
- Innovation contributions from workforce expand measurably

**HOW (Implementation Methods)**
- Skills assessment framework implemented enterprise-wide
- Learning management system deployed with personalized development paths
- Mentorship programs established across all business units
- Regular capability gap analysis conducted quarterly
- Career development planning integrated with business objectives

**Owner (RACI)**
- **Responsible**: Learning & Development Team, Direct Managers
- **Accountable**: Chief Human Resources Officer
- **Consulted**: Business Unit Leaders, Subject Matter Experts
- **Informed**: Executive Leadership Team, All Employees

**Measurement Framework**
- Skills assessment scores (baseline vs. current)
- Training completion rates and effectiveness ratings
- Internal mobility rates and promotion percentages  
- Employee engagement scores related to development
- Time-to-competency for new roles/responsibilities
- Knowledge transfer success rates during transitions

**Source**: Talent domain capabilities and Culture and Environment cluster outcomes from GPS 2.0 framework",175,0.6237,1.0,1.0,1.0,0.8495,GOOD,9226,,Semantic: 0.624 × 0.40 = 0.249 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.624) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
6,classification,OBT Methodology,MODE2,"Is 'Deploy analytics dashboards' an acceptable outcome? If not, reframe.",No — it's a How. Reframe: Decision speed improves measurably,No — How. Reframe: Business insights are easily accessible,9,0.2932,0.75,1.0,1.0,0.6548,ACCEPTABLE,2634,,Semantic: 0.293 × 0.40 = 0.117 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.293) | Complete: Direct answer provided; Reframe with brief reasoning provided; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
7,maturity_assessment,BOM & PIM Management,MODE3,State Part Information Management maturity (current and target).,"Part Information Management — Current: Level 2 (Managed), Target: Level 4 (Quantitatively Managed)","**Part Information Management**

**Current Maturity:** Level 2 (Managed)
**Target Maturity:** Level 4 (Quantitatively Managed)

**Source:** BOM PIM Capability Definitions and Maturities.xlsx

**Current State Context:** Basic part information workflows exist with some standardization, but limited integration between engineering and manufacturing data systems.

**Target State Context:** Quantitatively managed part information with data-driven decision making, automated validation, and enterprise-wide integration enabling predictive analytics for part lifecycle management.",64,0.85,1.0,1.0,1.0,0.94,EXCELLENT,4125,,Semantic: 0.850 × 0.40 = 0.340 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.850) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
8,outcome_rewriting,OBT Methodology,MODE1,Create a metric-free ≤10-word outcome for customer onboarding.,Customers onboard seamlessly and confidently,Customer onboarding experiences exceed expectations consistently across touchpoints,8,0.7264,0.75,1.0,1.0,0.828,GOOD,2514,,Semantic: 0.726 × 0.40 = 0.291 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: GOOD (similarity: 0.726) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
9,portfolio_analysis,Global PD,MODE3,Top-level RACI for Digital Twin — Accountable and Responsible?,Accountable: Head of Operations; Responsible: Plant Engineering & Operations,"**Digital Twin RACI - Top Level**

**Accountable:** Chief Technology Officer (CTO)
- Ultimate ownership of Digital Twin strategy and outcomes
- Budget authority and strategic direction
- Cross-functional integration accountability

**Responsible:** Digital Twin Program Manager
- Day-to-day execution and delivery
- Coordinate between IT, Engineering, Operations
- Implementation roadmap and milestone tracking

**Supporting Roles:**
- **Consulted:** VP Engineering, VP Operations, Chief Data Officer
- **Informed:** Executive Leadership Team, Functional VPs

**Source:** Based on Data and AI Capability Definitions and Maturities.xlsx - Digital Twin capability shows enterprise-level strategic importance requiring C-level accountability with dedicated program management execution.

Current Digital Twin Maturity: Level 2 (Managed)
Target: Level 4 (Quantitatively Managed)",108,0.4219,1.0,1.0,1.0,0.7688,GOOD,7511,,Semantic: 0.422 × 0.40 = 0.169 | OBT: 1.000 × 0.25 = 0.250 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: POOR (similarity: 0.422) | Complete: Direct answer provided; Comprehensive response with context; Sources cited (builds credibility),"{""obt"": [""MODE3: OBT checks not strictly applied""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Well-structured (sections/formatting)"", ""~ Confidence level implicit"", ""\u2713 No first-person language""]}","{""obt"": [], ""communication"": []}"
10,portfolio_analysis,Global PD,MODE1,"Given target weights Pain 30%, Capabilities 55%, Infra 15% and current Pain29%, Cap13%, Infra21% — which area is underrepresented?",Capabilities underrepresented (13% vs 55%). Action: prioritize capability projects and reallocate budget.,Capabilities,1,0.5549,0.75,1.0,1.0,0.7595,GOOD,2502,,Semantic: 0.555 × 0.40 = 0.222 | OBT: 0.750 × 0.25 = 0.188 | Complete: 1.000 × 0.20 = 0.200 | Comm: 1.000 × 0.15 = 0.150,Semantic: FAIR (similarity: 0.555) | Complete: Direct answer provided; MODE1: Reasoning not needed for direct outcomes; Sources not required for this mode,"{""obt"": [""\u2713 Metric-free (no numbers/percentages)"", ""\u2713 What not How (no implementation verbs)"", ""\u2713 Solution-agnostic (no specific technology)""], ""communication"": [""\u2713 Direct start (no preamble)"", ""\u2713 Structure appropriate for mode"", ""\u2713 Confidence not needed for this mode"", ""\u2713 No first-person language""]}","{""obt"": [""\u2717 Tense issue (no passive voice detected)""], ""communication"": []}"
